display(log)
check(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/model.txt)
model is syntactically correct
data(C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/data.txt)
data loaded
compile(3)
model compiled
inits(1,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits1.txt)
this chain contains uninitialized variables
inits(2,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits2.txt)
this chain contains uninitialized variables
inits(3,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/inits3.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(250)
update(1)
set(alpha)
set(b.male)
set(b.student)
set(b.IMD)
set(tau.age)
set(tau.ethngrp)
set(tau.ons)
set(tau.conception)
set(tau.gor)
set(tau.la)
set(tau.met)
set(v)
set(w)
set(u)
set(d)
set(h)
set(r)
set(g)
set(deviance)
dic.set()
update(400)
coda(*,C:/Users/ngreen1/Dropbox/small-area & chlamydia/R_code/scripts/WinBUGS/temp_WinBUGS_output/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	r[66]	0.006977	0.1102	0.003601	-0.214	0.001931	0.2626	2	1200
	r[67]	0.006617	0.1152	0.003251	-0.2242	0.001136	0.2755	2	1200
	r[68]	-0.01801	0.1024	0.002792	-0.2664	-0.009148	0.176	2	1200
	r[69]	-0.0123	0.1144	0.003772	-0.282	-0.007177	0.2125	2	1200
	r[70]	9.519E-4	0.1079	0.003014	-0.2272	8.672E-4	0.2455	2	1200
	r[71]	-0.007521	0.1094	0.003192	-0.2521	-0.002292	0.2115	2	1200
	r[72]	0.004045	0.113	0.003076	-0.2388	0.004951	0.2396	2	1200
	r[73]	-0.001086	0.1039	0.003251	-0.2083	-3.344E-4	0.2274	2	1200
	r[74]	-0.01544	0.1127	0.004307	-0.2786	-0.006152	0.1859	2	1200
	r[75]	-0.01015	0.1084	0.002785	-0.2546	-0.005506	0.2031	2	1200
	r[76]	0.02232	0.1155	0.003219	-0.1877	0.01459	0.2974	2	1200
	r[77]	0.00788	0.1056	0.002928	-0.2219	0.004921	0.2331	2	1200
	r[78]	0.01232	0.1126	0.0036	-0.2225	0.005418	0.2473	2	1200
	r[79]	0.01049	0.1059	0.002896	-0.2062	0.004801	0.2701	2	1200
	r[80]	-0.005724	0.1153	0.002952	-0.2619	-0.001828	0.2194	2	1200
	r[81]	0.003064	0.1138	0.003259	-0.2428	0.001233	0.233	2	1200
	r[82]	-0.002606	0.1094	0.003174	-0.2184	-0.002441	0.2248	2	1200
	r[83]	0.006771	0.1057	0.002946	-0.1977	0.003613	0.2515	2	1200
	r[84]	-0.0101	0.1101	0.003054	-0.2648	-0.003949	0.216	2	1200
	r[85]	0.01324	0.1088	0.003204	-0.1956	0.005717	0.254	2	1200
	r[86]	0.008407	0.1071	0.003916	-0.2044	0.003462	0.2688	2	1200
	r[87]	-0.01723	0.1107	0.003312	-0.2719	-0.006229	0.188	2	1200
	r[88]	-0.02372	0.1149	0.003472	-0.2862	-0.01271	0.2017	2	1200
	r[89]	-0.02869	0.1097	0.003312	-0.2952	-0.012	0.1596	2	1200
	r[90]	-0.01237	0.1139	0.00343	-0.2734	-0.004449	0.2153	2	1200
	r[91]	-0.04054	0.1127	0.003616	-0.3196	-0.02122	0.1365	2	1200
	r[92]	0.02258	0.1225	0.003311	-0.2044	0.01056	0.3269	2	1200
	r[93]	-0.01328	0.1075	0.003231	-0.2666	-0.00688	0.2014	2	1200
	r[94]	0.0257	0.1105	0.003035	-0.1725	0.01429	0.3082	2	1200
	r[95]	0.001573	0.112	0.003101	-0.2238	0.001371	0.2362	2	1200
	r[96]	-0.002737	0.1161	0.003264	-0.2638	2.893E-4	0.2418	2	1200
	r[97]	0.005285	0.1134	0.003878	-0.2385	0.001462	0.2784	2	1200
	r[98]	-0.02576	0.1129	0.003174	-0.2787	-0.0136	0.174	2	1200
	r[99]	-0.001567	0.1179	0.003237	-0.2598	-0.001326	0.2491	2	1200
	r[100]	0.02542	0.1076	0.00282	-0.1798	0.01288	0.2775	2	1200
	r[101]	-0.00931	0.1134	0.003002	-0.253	-0.002844	0.2287	2	1200
	r[102]	-0.005758	0.1077	0.003206	-0.2487	-0.002958	0.2118	2	1200
	r[103]	-0.01454	0.1115	0.003628	-0.2699	-0.003781	0.2084	2	1200
	r[104]	0.00624	0.108	0.003073	-0.2245	0.004419	0.2529	2	1200
	r[105]	0.01589	0.1084	0.003385	-0.2143	0.008464	0.2949	2	1200
	r[106]	-0.008068	0.1102	0.003118	-0.23	-0.007598	0.2369	2	1200
	r[107]	0.002088	0.1085	0.003247	-0.2369	0.002253	0.225	2	1200
	r[108]	-0.01518	0.1118	0.003235	-0.2774	-0.006914	0.2049	2	1200
	r[109]	0.01306	0.1086	0.002759	-0.2181	0.008448	0.2606	2	1200
	r[110]	0.02257	0.1165	0.003584	-0.1843	0.01281	0.3178	2	1200
	r[111]	7.111E-4	0.1125	0.003483	-0.2319	-1.555E-4	0.2544	2	1200
	r[112]	0.006768	0.1111	0.003256	-0.2172	0.002488	0.2763	2	1200
	r[113]	4.027E-5	0.1037	0.002967	-0.2392	-4.424E-4	0.216	2	1200
	r[114]	0.01494	0.1116	0.003469	-0.2094	0.006827	0.2741	2	1200
	r[115]	0.00249	0.1065	0.00352	-0.2163	3.81E-4	0.2259	2	1200
